"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"07/08/2023","1,65","1,55","-5,49","1,49","1,65","1,82M"
"07/08/2023","1,65","1,55","-5,49","1,49","1,65","1,82M"
"04/08/2023","1,64","1,64","0,00","1,61","1,67","1,05M"
"04/08/2023","1,64","1,64","0,00","1,61","1,67","1,05M"
"03/08/2023","1,73","1,64","-2,38","1,62","1,75","2,69M"
"03/08/2023","1,73","1,64","-2,38","1,62","1,75","2,69M"
"02/08/2023","1,75","1,68","-4,55","1,68","1,76","1,12M"
"02/08/2023","1,75","1,68","-4,55","1,68","1,76","1,12M"
"01/08/2023","1,69","1,76","3,53","1,66","1,77","2,25M"
"01/08/2023","1,69","1,76","3,53","1,66","1,77","2,25M"
"31/07/2023","1,65","1,70","2,41","1,65","1,77","2,63M"
"31/07/2023","1,65","1,70","2,41","1,65","1,77","2,63M"
"28/07/2023","1,68","1,66","0,00","1,61","1,71","2,10M"
"28/07/2023","1,68","1,66","0,00","1,61","1,71","2,10M"
"27/07/2023","1,77","1,66","-6,74","1,63","1,77","4,17M"
"27/07/2023","1,77","1,66","-6,74","1,63","1,77","4,17M"
"26/07/2023","1,71","1,78","4,09","1,69","1,83","3,59M"
"26/07/2023","1,71","1,78","4,09","1,69","1,83","3,59M"
"25/07/2023","1,74","1,71","-1,16","1,69","1,86","6,04M"
"25/07/2023","1,74","1,71","-1,16","1,69","1,86","6,04M"
"24/07/2023","1,73","1,73","0,58","1,65","1,82","5,59M"
"24/07/2023","1,73","1,73","0,58","1,65","1,82","5,59M"
"21/07/2023","1,69","1,72","2,38","1,68","1,87","11,31M"
"21/07/2023","1,69","1,72","2,38","1,68","1,87","11,31M"
"20/07/2023","1,45","1,68","16,67","1,43","1,75","20,56M"
"20/07/2023","1,45","1,68","16,67","1,43","1,75","20,56M"
"19/07/2023","1,43","1,44","0,70","1,38","1,47","3,04M"
"19/07/2023","1,43","1,44","0,70","1,38","1,47","3,04M"
"18/07/2023","1,40","1,43","11,72","1,40","1,53","11,24M"
"18/07/2023","1,40","1,43","11,72","1,40","1,53","11,24M"
"17/07/2023","1,26","1,28","1,59","1,24","1,29","335,07K"
"17/07/2023","1,26","1,28","1,59","1,24","1,29","335,07K"
"14/07/2023","1,26","1,26","0,00","1,23","1,29","1,71M"
"14/07/2023","1,26","1,26","0,00","1,23","1,29","1,71M"
"13/07/2023","1,29","1,26","-3,08","1,26","1,32","451,32K"
"13/07/2023","1,29","1,26","-3,08","1,26","1,32","451,32K"
"12/07/2023","1,30","1,30","0,00","1,28","1,32","737,27K"
"12/07/2023","1,30","1,30","0,00","1,28","1,32","737,27K"
"11/07/2023","1,30","1,30","0,00","1,23","1,32","1,24M"
"11/07/2023","1,30","1,30","0,00","1,23","1,32","1,24M"
"10/07/2023","1,33","1,30","-1,52","1,30","1,33","809,44K"
"10/07/2023","1,33","1,30","-1,52","1,30","1,33","809,44K"
"07/07/2023","1,31","1,32","0,76","1,29","1,37","1,34M"
"07/07/2023","1,31","1,32","0,76","1,29","1,37","1,34M"
"06/07/2023","1,30","1,31","2,34","1,28","1,37","1,73M"
"06/07/2023","1,30","1,31","2,34","1,28","1,37","1,73M"
"05/07/2023","1,40","1,28","-9,22","1,28","1,46","5,18M"
"05/07/2023","1,40","1,28","-9,22","1,28","1,46","5,18M"
"04/07/2023","1,42","1,41","-1,40","1,39","1,44","1,02M"
"04/07/2023","1,42","1,41","-1,40","1,39","1,44","1,02M"
"03/07/2023","1,37","1,43","5,93","1,36","1,44","1,60M"
"03/07/2023","1,37","1,43","5,93","1,36","1,44","1,60M"
