"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"07/08/2023","119.509","119.380","-0,11","118.894","120.104","14,65B"
"04/08/2023","120.586","119.508","-0,89","119.215","121.442","n/d"
"03/08/2023","120.859","120.586","-0,23","120.365","122.619","n/d"
"02/08/2023","121.249","120.859","-0,32","119.798","121.252","n/d"
"01/08/2023","121.945","121.248","-0,57","120.154","121.945","n/d"
"31/07/2023","120.188","121.943","1,46","120.188","122.149","n/d"
"28/07/2023","120.002","120.187","0,16","119.706","120.660","n/d"
"27/07/2023","122.560","119.990","-2,10","119.825","122.599","n/d"
"26/07/2023","122.003","122.560","0,45","121.370","122.747","n/d"
"25/07/2023","121.344","122.008","0,55","121.344","123.010","n/d"
"24/07/2023","120.220","121.342","0,94","120.099","121.772","n/d"
"21/07/2023","118.090","120.217","1,81","118.086","120.373","n/d"
"20/07/2023","117.558","118.083","0,45","117.484","118.290","n/d"
"19/07/2023","117.842","117.552","-0,25","116.660","118.011","n/d"
"18/07/2023","118.218","117.841","-0,32","117.324","118.732","n/d"
"17/07/2023","117.711","118.219","0,43","116.591","118.302","n/d"
"14/07/2023","119.268","117.711","-1,30","117.526","119.329","n/d"
"13/07/2023","117.671","119.264","1,36","117.668","119.739","n/d"
"12/07/2023","117.557","117.666","0,10","117.557","119.156","n/d"
"11/07/2023","117.942","117.555","-0,33","115.704","117.942","n/d"
"10/07/2023","118.897","117.942","-0,80","117.814","118.897","n/d"
"07/07/2023","117.427","118.898","1,25","117.427","119.549","n/d"
"06/07/2023","119.548","117.426","-1,78","117.096","119.548","n/d"
"05/07/2023","119.072","119.549","0,40","118.688","120.200","n/d"
"04/07/2023","119.673","119.076","0,59","118.830","119.678","n/d"
"30/06/2023","118.388","118.087","-0,25","118.087","119.447","n/d"
"29/06/2023","116.683","118.383","1,46","116.683","118.623","n/d"
"28/06/2023","117.524","116.681","-0,72","116.560","117.937","n/d"
"27/06/2023","118.246","117.523","-0,61","116.561","119.212","n/d"
"26/06/2023","118.977","118.243","-0,62","117.491","119.148","n/d"
"23/06/2023","118.959","118.977","-0,03","118.178","119.386","n/d"
"22/06/2023","120.420","119.017","-1,17","118.018","120.420","n/d"
"21/06/2023","119.623","120.421","0,67","119.332","120.519","n/d"
"20/06/2023","119.858","119.622","-0,20","118.416","119.858","n/d"
"19/06/2023","118.757","119.858","0,93","118.558","119.939","n/d"
"16/06/2023","119.208","118.758","-0,39","118.487","119.555","n/d"
"15/06/2023","119.068","119.221","0,13","118.693","119.686","n/d"
"14/06/2023","116.753","119.069","1,99","116.745","119.085","n/d"
"13/06/2023","117.337","116.743","-0,51","116.363","117.924","n/d"
"12/06/2023","117.022","117.336","0,27","116.704","117.735","n/d"
"09/06/2023","115.489","117.019","1,33","115.489","117.603","n/d"
"07/06/2023","114.610","115.488","0,77","114.610","115.978","n/d"
"06/06/2023","112.697","114.610","1,70","112.696","114.783","n/d"
"05/06/2023","112.558","112.696","0,12","111.736","113.071","n/d"
"02/06/2023","110.568","112.558","1,80","110.567","113.070","n/d"
"01/06/2023","108.339","110.565","2,06","108.335","110.745","n/d"
"31/05/2023","108.967","108.335","-0,58","108.193","109.137","n/d"
"30/05/2023","110.333","108.967","-1,24","108.552","111.291","n/d"
"29/05/2023","110.906","110.333","-0,52","110.195","111.168","n/d"
"26/05/2023","110.058","110.906","0,77","109.900","111.706","n/d"
"25/05/2023","108.800","110.054","1,15","108.800","111.115","n/d"
"24/05/2023","109.920","108.800","-1,03","108.546","109.920","n/d"
"23/05/2023","110.213","109.929","-0,26","109.713","111.325","n/d"
"22/05/2023","110.745","110.213","-0,48","110.178","111.643","n/d"
"19/05/2023","110.113","110.745","0,58","109.787","111.211","n/d"
"18/05/2023","109.459","110.108","0,59","108.864","110.206","n/d"
"17/05/2023","108.194","109.460","1,17","108.188","109.774","n/d"
"16/05/2023","109.029","108.194","-0,77","108.085","110.151","n/d"
