"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"07/08/2023","23,90","23,41","-1,47","23,32","23,92","15,86M"
"07/08/2023","23,90","23,41","-1,47","23,32","23,92","15,86M"
"04/08/2023","23,26","23,76","1,54","23,26","24,02","20,64M"
"04/08/2023","23,26","23,76","1,54","23,26","24,02","20,64M"
"03/08/2023","23,70","23,40","-0,43","23,31","24,12","22,43M"
"03/08/2023","23,70","23,40","-0,43","23,31","24,12","22,43M"
"02/08/2023","23,92","23,50","-1,67","23,40","24,05","18,43M"
"02/08/2023","23,92","23,50","-1,67","23,40","24,05","18,43M"
"01/08/2023","23,45","23,90","1,26","23,24","24,61","59,21M"
"01/08/2023","23,45","23,90","1,26","23,24","24,61","59,21M"
"31/07/2023","22,79","23,60","4,71","22,29","23,60","88,61M"
"31/07/2023","22,79","23,60","4,71","22,29","23,60","88,61M"
"28/07/2023","23,09","22,54","-9,92","21,93","23,90","273,97M"
"28/07/2023","23,09","22,54","-9,92","21,93","23,90","273,97M"
"27/07/2023","25,05","25,02","1,53","24,63","25,68","80,89M"
"27/07/2023","25,05","25,02","1,53","24,63","25,68","80,89M"
"26/07/2023","23,87","24,64","3,24","23,79","25,17","47,12M"
"26/07/2023","23,87","24,64","3,24","23,79","25,17","47,12M"
"25/07/2023","24,03","23,87","0,17","23,87","24,59","19,73M"
"25/07/2023","24,03","23,87","0,17","23,87","24,59","19,73M"
"24/07/2023","23,85","23,83","0,21","23,60","24,12","11,81M"
"24/07/2023","23,85","23,83","0,21","23,60","24,12","11,81M"
"21/07/2023","22,99","23,78","3,99","22,88","23,89","26,62M"
"21/07/2023","22,99","23,78","3,99","22,88","23,89","26,62M"
"20/07/2023","22,51","22,87","2,04","22,31","22,99","30,59M"
"20/07/2023","22,51","22,87","2,04","22,31","22,99","30,59M"
"19/07/2023","23,73","22,41","-4,97","22,41","23,73","65,93M"
"19/07/2023","23,73","22,41","-4,97","22,41","23,73","65,93M"
"18/07/2023","23,60","23,58","0,34","23,31","23,95","14,12M"
"18/07/2023","23,60","23,58","0,34","23,31","23,95","14,12M"
"17/07/2023","23,30","23,50","0,94","23,09","23,66","15,59M"
"17/07/2023","23,30","23,50","0,94","23,09","23,66","15,59M"
"14/07/2023","23,73","23,28","-1,22","22,89","23,79","45,87M"
"14/07/2023","23,73","23,28","-1,22","22,89","23,79","45,87M"
"13/07/2023","24,15","23,57","-1,37","23,47","24,20","23,67M"
"13/07/2023","24,15","23,57","-1,37","23,47","24,20","23,67M"
"12/07/2023","24,53","23,90","-0,50","23,78","24,53","14,26M"
"12/07/2023","24,53","23,90","-0,50","23,78","24,53","14,26M"
"11/07/2023","24,21","24,02","-0,62","23,84","24,37","12,14M"
"11/07/2023","24,21","24,02","-0,62","23,84","24,37","12,14M"
"10/07/2023","24,34","24,17","-0,65","23,98","24,59","12,17M"
"10/07/2023","24,34","24,17","-0,65","23,98","24,59","12,17M"
"07/07/2023","24,30","24,33","0,20","24,26","24,82","24,66M"
"07/07/2023","24,30","24,33","0,20","24,26","24,82","24,66M"
"06/07/2023","24,53","24,28","-1,57","24,22","24,85","35,57M"
"06/07/2023","24,53","24,28","-1,57","24,22","24,85","35,57M"
"05/07/2023","25,06","24,66","-2,32","24,35","25,19","118,68M"
"05/07/2023","25,06","24,66","-2,32","24,35","25,19","118,68M"
"04/07/2023","25,46","25,25","-1,66","25,07","25,95","51,14M"
"04/07/2023","25,46","25,25","-1,66","25,07","25,95","51,14M"
"03/07/2023","25,74","25,68","-0,12","25,59","26,42","63,55M"
"03/07/2023","25,74","25,68","-0,12","25,59","26,42","63,55M"
"30/06/2023","25,55","25,71","1,77","25,46","26,34","60,45M"
"30/06/2023","25,55","25,71","1,77","25,46","26,34","60,45M"
"29/06/2023","24,50","25,26","3,16","24,42","25,33","42,84M"
"29/06/2023","24,50","25,26","3,16","24,42","25,33","42,84M"
"28/06/2023","23,99","24,49","2,07","23,64","24,86","55,85M"
"28/06/2023","23,99","24,49","2,07","23,64","24,86","55,85M"
"27/06/2023","24,14","23,99","-0,21","23,68","24,28","107,77M"
"27/06/2023","24,14","23,99","-0,21","23,68","24,28","107,77M"
"26/06/2023","24,53","24,04","-2,06","23,17","24,53","73,91M"
"26/06/2023","24,53","24,04","-2,06","23,17","24,53","73,91M"
"23/06/2023","24,58","24,55","-0,04","24,28","25,06","100,27M"
"23/06/2023","24,58","24,55","-0,04","24,28","25,06","100,27M"
"22/06/2023","25,20","24,56","-3,17","23,95","25,20","132,28M"
"22/06/2023","25,20","24,56","-3,17","23,95","25,20","132,28M"
"21/06/2023","25,70","25,36","-0,82","24,82","25,71","95,00M"
"21/06/2023","25,70","25,36","-0,82","24,82","25,71","95,00M"
"20/06/2023","25,75","25,57","-0,58","25,32","26,15","69,41M"
"20/06/2023","25,75","25,57","-0,58","25,32","26,15","69,41M"
"19/06/2023","25,87","25,72","-0,96","25,28","26,03","32,96M"
