"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"07/08/2023","8,80","8,26","-4,95","8,26","8,80","9,98M"
"07/08/2023","8,80","8,26","-4,95","8,26","8,80","9,98M"
"04/08/2023","8,55","8,69","1,16","8,48","8,75","14,59M"
"04/08/2023","8,55","8,69","1,16","8,48","8,75","14,59M"
"03/08/2023","8,50","8,59","2,38","8,48","8,86","24,49M"
"03/08/2023","8,50","8,59","2,38","8,48","8,86","24,49M"
"02/08/2023","8,45","8,39","-0,59","8,31","8,51","8,65M"
"02/08/2023","8,45","8,39","-0,59","8,31","8,51","8,65M"
"01/08/2023","8,31","8,44","2,30","8,23","8,55","12,86M"
"01/08/2023","8,31","8,44","2,30","8,23","8,55","12,86M"
"31/07/2023","8,35","8,25","-0,84","8,20","8,50","12,58M"
"31/07/2023","8,35","8,25","-0,84","8,20","8,50","12,58M"
"28/07/2023","8,24","8,32","1,09","8,24","8,42","5,39M"
"28/07/2023","8,24","8,32","1,09","8,24","8,42","5,39M"
"27/07/2023","8,46","8,23","-1,67","8,22","8,66","11,57M"
"27/07/2023","8,46","8,23","-1,67","8,22","8,66","11,57M"
"26/07/2023","8,35","8,37","0,60","8,19","8,43","8,76M"
"26/07/2023","8,35","8,37","0,60","8,19","8,43","8,76M"
"25/07/2023","8,32","8,32","0,73","8,32","8,56","8,52M"
"25/07/2023","8,32","8,32","0,73","8,32","8,56","8,52M"
"24/07/2023","8,33","8,26","-0,36","8,13","8,34","4,97M"
"24/07/2023","8,33","8,26","-0,36","8,13","8,34","4,97M"
"21/07/2023","8,23","8,29","1,72","8,17","8,38","6,94M"
"21/07/2023","8,23","8,29","1,72","8,17","8,38","6,94M"
"20/07/2023","8,30","8,15","-0,85","8,15","8,31","6,97M"
"20/07/2023","8,30","8,15","-0,85","8,15","8,31","6,97M"
"19/07/2023","8,30","8,22","-1,56","8,05","8,35","8,95M"
"19/07/2023","8,30","8,22","-1,56","8,05","8,35","8,95M"
"18/07/2023","8,35","8,35","0,36","8,19","8,42","7,78M"
"18/07/2023","8,35","8,35","0,36","8,19","8,42","7,78M"
"17/07/2023","8,10","8,32","1,22","8,03","8,44","10,85M"
"17/07/2023","8,10","8,32","1,22","8,03","8,44","10,85M"
"14/07/2023","8,59","8,22","-4,08","8,18","8,59","9,84M"
"14/07/2023","8,59","8,22","-4,08","8,18","8,59","9,84M"
"13/07/2023","8,55","8,57","0,82","8,50","8,76","13,13M"
"13/07/2023","8,55","8,57","0,82","8,50","8,76","13,13M"
"12/07/2023","8,70","8,50","-2,07","8,45","8,84","10,76M"
"12/07/2023","8,70","8,50","-2,07","8,45","8,84","10,76M"
"11/07/2023","8,76","8,68","-0,91","8,31","8,76","12,95M"
"11/07/2023","8,76","8,68","-0,91","8,31","8,76","12,95M"
"10/07/2023","9,06","8,76","-3,31","8,75","9,13","12,26M"
"10/07/2023","9,06","8,76","-3,31","8,75","9,13","12,26M"
"07/07/2023","9,10","9,06","0,44","8,99","9,24","10,15M"
"07/07/2023","9,10","9,06","0,44","8,99","9,24","10,15M"
"06/07/2023","9,31","9,02","-3,63","8,98","9,35","9,38M"
"06/07/2023","9,31","9,02","-3,63","8,98","9,35","9,38M"
"05/07/2023","9,32","9,36","0,65","9,26","9,60","17,69M"
"05/07/2023","9,32","9,36","0,65","9,26","9,60","17,69M"
"04/07/2023","9,15","9,30","1,64","9,12","9,37","8,46M"
"04/07/2023","9,15","9,30","1,64","9,12","9,37","8,46M"
"03/07/2023","9,25","9,15","-0,76","9,14","9,36","11,40M"
"03/07/2023","9,25","9,15","-0,76","9,14","9,36","11,40M"
"30/06/2023","9,12","9,22","1,77","9,12","9,44","27,17M"
"30/06/2023","9,12","9,22","1,77","9,12","9,44","27,17M"
"29/06/2023","9,05","9,06","0,67","8,93","9,21","26,14M"
"29/06/2023","9,05","9,06","0,67","8,93","9,21","26,14M"
"28/06/2023","9,04","9,00","-0,33","8,96","9,30","27,23M"
"28/06/2023","9,04","9,00","-0,33","8,96","9,30","27,23M"
"27/06/2023","9,34","9,03","0,33","8,81","9,35","22,75M"
"27/06/2023","9,34","9,03","0,33","8,81","9,35","22,75M"
"26/06/2023","9,09","9,00","-1,75","8,95","9,23","7,09M"
"26/06/2023","9,09","9,00","-1,75","8,95","9,23","7,09M"
"23/06/2023","9,38","9,16","-2,55","8,98","9,47","43,41M"
"23/06/2023","9,38","9,16","-2,55","8,98","9,47","43,41M"
"22/06/2023","9,49","9,40","-2,08","9,22","9,68","42,37M"
"22/06/2023","9,49","9,40","-2,08","9,22","9,68","42,37M"
"21/06/2023","9,70","9,60","-0,83","9,40","9,82","56,87M"
"21/06/2023","9,70","9,60","-0,83","9,40","9,82","56,87M"
"20/06/2023","9,60","9,68","2,43","9,29","9,80","61,55M"
"20/06/2023","9,60","9,68","2,43","9,29","9,80","61,55M"
"19/06/2023","9,05","9,45","5,47","8,94","9,45","25,06M"
"19/06/2023","9,05","9,45","5,47","8,94","9,45","25,06M"
"16/06/2023","9,05","8,96","-0,99","8,88","9,19","55,33M"
"16/06/2023","9,05","8,96","-0,99","8,88","9,19","55,33M"
"15/06/2023","8,39","9,05","9,04","8,35","9,09","59,15M"
"15/06/2023","8,39","9,05","9,04","8,35","9,09","59,15M"
"14/06/2023","7,79","8,30","7,65","7,73","8,31","37,65M"
"14/06/2023","7,79","8,30","7,65","7,73","8,31","37,65M"
"13/06/2023","7,98","7,71","-2,16","7,67","8,03","34,23M"
"13/06/2023","7,98","7,71","-2,16","7,67","8,03","34,23M"
"12/06/2023","7,57","7,88","4,51","7,52","7,99","18,37M"
"12/06/2023","7,57","7,88","4,51","7,52","7,99","18,37M"
"09/06/2023","7,33","7,54","4,00","7,30","7,58","52,26M"
"09/06/2023","7,33","7,54","4,00","7,30","7,58","52,26M"
"07/06/2023","7,33","7,25","0,14","7,02","7,47","57,26M"
"07/06/2023","7,33","7,25","0,14","7,02","7,47","57,26M"
"06/06/2023","6,93","7,24","4,62","6,90","7,29","45,01M"
"06/06/2023","6,93","7,24","4,62","6,90","7,29","45,01M"
"05/06/2023","6,87","6,92","1,17","6,73","6,94","14,50M"
"05/06/2023","6,87","6,92","1,17","6,73","6,94","14,50M"
"02/06/2023","6,87","6,84","0,29","6,78","7,15","64,71M"
"02/06/2023","6,87","6,84","0,29","6,78","7,15","64,71M"
"01/06/2023","6,85","6,82","0,59","6,47","6,89","46,28M"
"01/06/2023","6,85","6,82","0,59","6,47","6,89","46,28M"
"31/05/2023","6,65","6,78","0,00","6,58","6,83","25,46M"
"31/05/2023","6,65","6,78","0,00","6,58","6,83","25,46M"
"30/05/2023","6,89","6,78","-0,59","6,74","6,92","25,86M"
"30/05/2023","6,89","6,78","-0,59","6,74","6,92","25,86M"
"29/05/2023","6,90","6,82","-0,44","6,71","6,90","10,87M"
"29/05/2023","6,90","6,82","-0,44","6,71","6,90","10,87M"
"26/05/2023","6,87","6,85","1,78","6,75","6,94","37,39M"
"25/05/2023","6,65","6,73","2,59","6,65","6,85","31,98M"
"24/05/2023","6,61","6,56","-1,20","6,50","6,67","30,49M"
"23/05/2023","6,90","6,64","-3,35","6,60","6,96","36,42M"
"22/05/2023","6,73","6,87","2,08","6,69","6,95","18,10M"
"19/05/2023","6,66","6,73","1,82","6,55","6,90","55,86M"
"18/05/2023","6,47","6,61","1,85","6,42","6,75","68,60M"
"17/05/2023","6,19","6,49","6,92","6,15","6,54","77,50M"
"16/05/2023","6,10","6,07","-0,65","6,05","6,32","89,86M"
"15/05/2023","6,40","6,11","-3,78","6,06","6,55","52,30M"
"12/05/2023","7,49","6,35","-20,63","6,35","7,44","145,17M"
"11/05/2023","7,49","8,00","6,38","7,35","8,04","46,54M"
"10/05/2023","7,11","7,52","5,77","7,10","7,57","38,09M"
"09/05/2023","7,10","7,11","0,14","7,03","7,31","28,52M"
"08/05/2023","7,16","7,10","0,57","7,05","7,28","10,44M"
"05/05/2023","6,71","7,06","5,22","6,70","7,10","58,20M"
"04/05/2023","6,64","6,71","0,90","6,34","6,85","68,90M"
"03/05/2023","6,60","6,65","0,76","6,45","6,73","51,59M"
"02/05/2023","7,22","6,60","-5,44","6,55","6,93","23,41M"
"28/04/2023","6,73","6,98","3,88","6,64","7,08","20,63M"
"27/04/2023","6,63","6,72","1,41","6,62","6,78","15,40M"
"26/04/2023","6,76","6,63","-0,84","6,57","6,81","19,85M"
"25/04/2023","6,86","6,68","-3,24","6,60","6,91","21,50M"
"24/04/2023","6,91","6,91","-1,33","6,86","7,09","9,34M"
"20/04/2023","7,13","7,00","-1,83","6,82","7,23","25,77M"
"19/04/2023","7,36","7,13","-4,97","7,06","7,47","21,17M"
"18/04/2023","7,69","7,50","-1,47","7,38","7,69","27,27M"
"17/04/2023","7,32","7,61","3,55","7,29","7,83","17,26M"
"14/04/2023","7,32","7,35","-0,25","7,20","7,46","16,45M"
"13/04/2023","7,38","7,37","-0,12","7,22","7,54","28,87M"
"12/04/2023","7,05","7,38","5,60","7,05","7,48","34,31M"
"11/04/2023","6,81","6,99","4,02","6,81","7,01","32,86M"
"10/04/2023","6,48","6,72","4,19","6,37","6,82","15,25M"
"06/04/2023","6,80","6,45","-4,42","6,44","6,83","25,81M"
"05/04/2023","6,88","6,75","-1,23","6,52","6,88","25,58M"
"04/04/2023","7,05","6,83","-1,74","6,78","7,08","24,54M"
"03/04/2023","7,16","6,95","-1,71","6,72","7,16","11,05M"
"31/03/2023","7,05","7,07","-0,52","6,95","7,21","44,60M"
"30/03/2023","7,60","7,11","-5,10","7,04","7,60","53,70M"
"29/03/2023","7,46","7,49","1,64","7,23","7,62","44,22M"
"28/03/2023","7,26","7,37","1,28","7,14","7,45","42,87M"
"27/03/2023","7,10","7,28","3,17","7,06","7,43","20,87M"
"24/03/2023","6,78","7,05","5,14","6,64","7,16","69,66M"
